config,group,case_count,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall,mean_latency_ms,p95_latency_ms
current_reranker,diagnostic:numeric_or_time,11,0.2727272727272727,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.4848484848484848,0.13636363636363635,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.10909090909090911,0.10909090909090911,0.8181818181818182,245.7891090904344,331.4110999999684
current_reranker,diagnostic:paraphrase,6,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4222222222222222,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666666,264.16423333406175,285.45992500039574
current_reranker,diagnostic:procedure,6,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.22777777777777777,0.0,0.25,0.38095238095238093,0.5357142857142857,0.0,0.1111111111111111,0.16666666666666666,0.15,0.15,0.5357142857142857,264.5530714288335,311.8871500010755
current_reranker,diagnostic:product_specific,18,0.4444444444444444,0.6666666666666666,0.8333333333333334,0.9444444444444444,0.6013888888888889,0.3611111111111111,0.5555555555555556,0.6944444444444444,0.8611111111111112,0.4444444444444444,0.24074074074074073,0.17777777777777778,0.11666666666666667,0.11666666666666667,0.8611111111111112,246.57282777783016,352.32929500107264
current_reranker,diagnostic:temporal,18,0.3333333333333333,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.5427469135802468,0.2222222222222222,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.3333333333333333,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,266.7481722220752,360.1361200003794
current_reranker,question_type:adverse_reaction,8,0.625,1.0,1.0,1.0,0.7916666666666666,0.3125,0.8125,0.9375,1.0,0.625,0.5416666666666666,0.375,0.2,0.2,1.0,295.5812875003403,422.2407300003851
current_reranker,question_type:fact_specific,10,0.3,0.8,0.9,0.9,0.5533333333333333,0.25,0.8,0.9,0.9,0.3,0.3333333333333333,0.22000000000000003,0.11000000000000001,0.11000000000000001,0.9,310.4123900002378,365.34554000104436
current_reranker,question_type:monitoring,2,0.0,0.5,1.0,1.0,0.29166666666666663,0.0,0.5,1.0,1.0,0.0,0.16666666666666666,0.2,0.1,0.1,1.0,239.06779999924765,266.4474199985307
current_reranker,question_type:negative_out_of_scope,0,,,,,,,,,,,,,,,,208.9268999999893,259.32004999958735
current_reranker,question_type:paraphrase,6,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.4222222222222222,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666666,264.16423333406175,285.45992500039574
current_reranker,question_type:preparation,10,0.1,0.6,0.7,0.9,0.3491666666666667,0.05,0.6,0.65,0.9,0.1,0.2333333333333333,0.16,0.11000000000000001,0.11000000000000001,0.9,294.2462700003489,391.8850000006387
current_reranker,question_type:procedure,6,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.22777777777777777,0.0,0.25,0.38095238095238093,0.5357142857142857,0.0,0.1111111111111111,0.16666666666666666,0.15,0.15,0.5357142857142857,264.5530714288335,311.8871500010755
current_reranker,question_type:product_specific,18,0.4444444444444444,0.6666666666666666,0.8333333333333334,0.9444444444444444,0.6013888888888889,0.3611111111111111,0.5555555555555556,0.6944444444444444,0.8611111111111112,0.4444444444444444,0.24074074074074073,0.17777777777777778,0.11666666666666667,0.11666666666666667,0.8611111111111112,246.57282777783016,352.32929500107264
current_reranker,question_type:temporal,18,0.3333333333333333,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.5427469135802468,0.2222222222222222,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.3333333333333333,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,266.7481722220752,360.1361200003794
normalized_input,diagnostic:colloquial,15,0.4666666666666667,0.8,0.8666666666666667,0.9333333333333333,0.6611111111111111,0.4,0.6666666666666666,0.8333333333333334,0.9333333333333333,0.4666666666666667,0.26666666666666666,0.21333333333333335,0.12666666666666668,0.12666666666666668,0.9333333333333333,201.73058666672054,285.672080000586
normalized_input,diagnostic:exact_medical_or_product_term,15,0.4666666666666667,0.7333333333333333,0.8,0.8666666666666667,0.6133333333333333,0.4,0.6333333333333333,0.7333333333333333,0.8666666666666667,0.4666666666666667,0.24444444444444444,0.17333333333333334,0.11333333333333334,0.11333333333333334,0.8666666666666667,180.9796399999565,243.14000999947888
normalized_input,diagnostic:long_natural_language,3,0.3333333333333333,1.0,1.0,1.0,0.611111111111111,0.047619047619047616,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.7619047619047619,167.01499999968897,210.10963000080665
normalized_input,diagnostic:numeric_or_time,11,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.5,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.2727272727272727,0.18181818181818182,0.10909090909090911,0.10909090909090911,0.8181818181818182,179.02269090857524,256.4555499998278
normalized_input,diagnostic:paraphrase,6,0.3333333333333333,0.5,0.5,0.8333333333333334,0.4444444444444444,0.3333333333333333,0.5,0.5,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.10000000000000002,0.08333333333333333,0.08333333333333333,0.8333333333333334,194.66118333396784,212.60285000107615
normalized_input,diagnostic:procedure,6,0.3333333333333333,1.0,1.0,1.0,0.611111111111111,0.047619047619047616,0.5714285714285714,0.7023809523809524,0.8333333333333334,0.3333333333333333,0.38888888888888884,0.3333333333333333,0.21666666666666667,0.21666666666666667,0.8333333333333334,187.40158571485412,226.78902000143353
normalized_input,diagnostic:product_specific,18,0.2777777777777778,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.5435185185185185,0.25,0.6666666666666666,0.8055555555555556,0.9444444444444444,0.2777777777777778,0.2962962962962963,0.21111111111111114,0.13333333333333336,0.13333333333333336,0.9444444444444444,175.5689611112656,228.6429800007226
normalized_input,diagnostic:temporal,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.7101851851851851,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,200.677122222007,282.32479000062085
